id,lid,name,lat,lon,wfo,rfc,wrr,state,minor_CS_3month,moderate_CS_3month,major_CS_3month,code,date_produced,obj_or_subj_3month,interval_3month
RYEA4,RYEA4,Saline River at Rye,33.70083300,-92.02583300,LZK,LMRFC,Lower Mississippi Region,AR,0.17,0.05,0.05,1,2/7/2023,obj,FMA
SALV2,SALV2,North Fork Holston River at Saltville,36.89666700,-81.74638900,RNK,LMRFC,Tennessee Region,VA,0.08,0.05,0.05,1,2/7/2023,obj,FMA
SARM6,SARM6,Coldwater River near Sarah,34.57555600,-90.22444400,MEG,LMRFC,Lower Mississippi Region,MS,0.07,0.05,0.05,1,2/7/2023,obj,FMA
SCKG1,SCKG1,South Chickamauga Creek at Ringgold,34.91894400,-85.12572200,FFC,LMRFC,South Atlantic-Gulf Region,GA,0.22,0.05,0.05,1,2/7/2023,obj,FMA
SEVT1,SEVT1,Little Pigeon River above Sevierville,35.87833300,-83.57777800,MRX,LMRFC,Tennessee Region,TN,0.07,0.05,0.05,1,2/7/2023,obj,FMA
SFRA4,SFRA4,St. Francis River at St. Francis,36.45583300,-90.13777800,MEG,LMRFC,Lower Mississippi Region,AR,0.47,0.06,0.05,1,2/7/2023,obj,FMA
SFYV2,SFYV2,Clinch River near Speers Ferry,36.64861100,-82.75055600,MRX,LMRFC,Tennessee Region,VA,0.13,0.05,0.05,1,2/7/2023,obj,FMA
SHBM6,SHBM6,Chickasawhay River at Shubuta,31.85757500,-88.68690600,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.28,0.05,0.05,1,2/7/2023,obj,FMA
SHVT1,SHVT1,Duck River near Shelbyville,35.48027800,-86.49916700,OHX,LMRFC,Tennessee Region,TN,0.21,0.15,0.05,1,2/7/2023,obj,FMA
SJOA4,SJOA4,Buffalo River near St Joe,35.98305600,-92.74722200,LZK,LMRFC,Arkansas-White-Red Region,AR,0.13,0.05,0.05,1,2/7/2023,obj,FMA
SMFV2,SMFV2,Middle Fork Holston River at Seven Mile Ford,36.80722200,-81.62222200,RNK,LMRFC,Tennessee Region,VA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
SMLI2,SMLI2,Ohio River at Smithland Lock and Dam,37.15833300,-88.42611100,PAH,LMRFC,Ohio Region,IL,0.28,0.08,0.05,1,2/7/2023,obj,FMA
SPHL1,SPHL1,Bayou Dorcheat near Springhill,32.99444400,-93.39638900,SHV,LMRFC,Arkansas-White-Red Region,LA,0.95,0.14,0.05,2,2/7/2023,obj,FMA
SUNM6,SUNM6,Big Sunflower River at Sunflower,33.54722200,-90.54305600,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.23,0.17,2,2/7/2023,obj,FMA
SVPL1,SVPL1,Red River at Shreveport,32.51527800,-93.74027800,SHV,LMRFC,Arkansas-White-Red Region,LA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
SWNM6,SWNM6,Tallahatchie River near Swan Lake,33.86055600,-90.27666700,MEG,LMRFC,Lower Mississippi Region,MS,0.82,0.05,0.05,2,2/7/2023,obj,FMA
TAZT1,TAZT1,Clinch River above Tazewell,36.42500000,-83.39833300,MRX,LMRFC,Tennessee Region,TN,0.13,0.05,0.05,1,2/7/2023,obj,FMA
TDGL1,TDGL1,Tensas River at Tendal,32.43194400,-91.36666700,JAN,LMRFC,Lower Mississippi Region,LA,0.47,0.46,0.42,1,2/7/2023,obj,FMA
THBI2,THBI2,Mississippi River at Thebes,37.22166700,-89.46305600,PAH,LMRFC,Upper Mississippi Region,IL,0.41,0.19,0.09,1,2/7/2023,obj,FMA
TKSN7,TKSN7,Tuckasegee River at Bryson City,35.42750000,-83.44694400,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/7/2023,obj,FMA
TLCT2,TLCT2,Sulphur River near Talco,33.38620000,-95.13220000,SHV,LMRFC,Arkansas-White-Red Region,TX,0.94,0.19,0.05,2,2/7/2023,obj,FMA
TNZM7,TNZM7,North Fork White River near Tecumseh,36.62305600,-92.24805600,SGF,LMRFC,Arkansas-White-Red Region,MO,0.14,0.06,0.05,1,2/7/2023,obj,FMA
TPTM7,TPTM7,Mississippi River above Tiptonville,36.41243800,-89.53772800,MEG,LMRFC,Lower Mississippi Region,MO,0.29,0.05,0.05,1,2/7/2023,obj,FMA
TYTM6,TYTM6,Bogue Chitto River near Tylertown,31.17694400,-90.28000000,LIX,LMRFC,South Atlantic-Gulf Region,MS,0.74,0.53,0.29,3,2/7/2023,obj,FMA
VCKM6,VCKM6,Mississippi River at Vicksburg,32.31500000,-90.90583300,JAN,LMRFC,Lower Mississippi Region,MS,0.42,0.16,0.13,1,2/7/2023,obj,FMA
VNBM7,VNBM7,Current River at Van Buren,36.99138900,-91.01361100,PAH,LMRFC,Arkansas-White-Red Region,MO,0.06,0.05,0.05,1,2/7/2023,obj,FMA
WCKG1,WCKG1,West Chickamauga Creek at GA 146 near Lakeview,34.95722200,-85.20555600,FFC,LMRFC,Tennessee Region,GA,0.21,0.05,0.05,1,2/7/2023,obj,FMA
WDVA1,WDVA1,Paint Rock River (AL) near Woodville,34.62416700,-86.30638900,HUN,LMRFC,Tennessee Region,AL,0.57,0.13,0.05,2,2/7/2023,obj,FMA
WHTT1,WHTT1,Sequatchie River near Whitwell,35.20638900,-85.49722200,MRX,LMRFC,Tennessee Region,TN,0.36,0.05,0.05,1,2/7/2023,obj,FMA
WOCT2,WOCT2,White Oak Creek near Talco,33.32222200,-95.09250000,SHV,LMRFC,Arkansas-White-Red Region,TX,0.95,0.06,0.05,2,2/7/2023,obj,FMA
WSTM6,WSTM6,Big Black River at West,33.19440000,-89.77110000,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.45,0.05,2,2/7/2023,obj,FMA
WTGM6,WTGM6,Tuscolameta Creek at Walnut Grove,32.58830000,-89.46500000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.72,0.05,0.05,2,2/7/2023,obj,FMA
WYNM6,WYNM6,Chickasawhay River near Waynesboro,31.68248000,-88.68350000,MOB,LMRFC,South Atlantic-Gulf Region,MS,0.31,0.05,0.05,1,2/7/2023,obj,FMA
YWGM6,YWGM6,Yalobusha River at Whaley,33.63140000,-90.10910000,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.93,0.10,3,2/7/2023,obj,FMA
YZOM6,YZOM6,Yazoo River at Yazoo City,32.85790000,-90.43680000,JAN,LMRFC,Lower Mississippi Region,MS,0.90,0.18,0.05,2,2/7/2023,obj,FMA
