lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
BRLM7,Nodaway River near Burlington Junction,40.44500000,-95.08944444,EAX,MBRFC,Missouri Region,MO,0.10,0.05,0.05,1,2/21/2023,obj,FMA
BRNK1,Salt Creek (KS) at Barnard,39.19027778,-98.03972222,ICT,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BRNM7,Grand River near Brunswick,39.43083333,-93.15972222,EAX,MBRFC,Missouri Region,MO,0.69,0.19,0.06,2,2/21/2023,obj,FMA
BRON1,Missouri River at Brownville,40.39888889,-95.65333333,OAX,MBRFC,Missouri Region,NE,0.55,0.12,0.05,2,2/21/2023,obj,FMA
BSMM8,Big Sandy Creek (MT) near Havre,48.52670000,-109.84150000,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BTMM8,Boulder River at Big Timber,45.83416667,-109.93805556,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BVCM7,Blue River at Colorado Avenue,39.03670000,-94.52260000,EAX,MBRFC,Missouri Region,MO,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BVRN8,Beaver Creek (South Central ND) at Linton,46.26861111,-100.25138889,BIS,MBRFC,Missouri Region,ND,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BVSN1,Sappa Creek near Beaver City,40.04583333,-99.89000000,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BVUK1,Kansas River near Belvue,39.18750000,-96.14722222,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BWSW4,Belle Fourche River at Wyoming-South Dakota State Line,44.74890000,-104.05170000,UNR,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BZNC2,South Platte River near Balzac,40.35777778,-103.52861111,BOU,MBRFC,Missouri Region,CO,0.09,0.08,0.06,1,2/21/2023,obj,FMA
