lid,lat,lon,rfc,minor,moderate,major,code,date_produced,name,wfo,wrr,state,obj_or_subj,interval
WUNO1,38.803611,-83.421111,OHRFC,0.59,0.07,0.05,2,1/27/2023,Ohio Brush Creek near West Union,ILN,Upper Mississippi Region,OH,obj,JFM
ABTI3,39.732548,-84.959684,OHRFC,0.05,0.05,0.05,1,1/27/2023,East Fork Whitewater River at Abington,ILN,Upper Mississippi Region,IN,obj,JFM
ACIT1,36.270556,-87.076111,OHRFC,0.05,0.05,0.05,1,1/27/2023,Cumberland River at Ashland City,OHX,Great Lakes Region,TN,obj,JFM
ACMP1,40.536111,-79.815,OHRFC,0.05,0.05,0.05,1,1/27/2023,Allegheny River at C.W. Bill Young Lock and Dam,PBZ,Great Lakes Region,PA,obj,JFM
ALDW2,37.724167,-80.641667,OHRFC,0.24,0.1,0.05,1,1/27/2023,Greenbrier River at Alderson,RNK,Great Lakes Region,WV,obj,JFM
ALPI3,39.574333,-85.155889,OHRFC,0.12,0.05,0.05,1,1/27/2023,West Fork Whitewater River near Alpine,ILN,Great Lakes Region,IN,obj,JFM
ALSV2,36.9375,-80.745833,OHRFC,0.26,0.05,0.05,1,1/27/2023,New River at Allisonia,RNK,Great Lakes Region,VA,obj,JFM
ALVK2,36.895278,-86.380556,OHRFC,0.35,0.05,0.05,1,1/27/2023,Drakes Creek near Alvaton,LMK,Upper Mississippi Region,KY,obj,JFM
ANDI3,40.1053,-85.6714,OHRFC,0.17,0.05,0.05,1,1/27/2023,White River (IN) at Anderson,IND,Upper Mississippi Region,IN,obj,JFM
ANTT1,36.081667,-86.680556,OHRFC,0.1,0.05,0.05,1,1/27/2023,Mill Creek at Antioch,OHX,Great Lakes Region,TN,obj,JFM
ASHK2,38.481192,-82.63655,OHRFC,0.23,0.09,0.05,1,1/27/2023,Ohio River at Ashland,RLX,Upper Mississippi Region,KY,obj,JFM
ATHO1,39.328962,-82.087644,OHRFC,0.11,0.06,0.05,1,1/27/2023,Hocking River at Athens,RLX,Upper Mississippi Region,OH,obj,JFM
BAKI3,39.2,-85.9256,OHRFC,0.21,0.05,0.05,1,1/27/2023,East Fork White River at Columbus,IND,Upper Mississippi Region,IN,obj,JFM
BBVK2,36.862222,-83.8875,OHRFC,0.3,0.11,0.05,1,1/27/2023,Cumberland River at Barbourville,JKL,Upper Mississippi Region,KY,obj,JFM
